question,body,A,B,C,D,E,gpt-4_answer,gpt-4_probs
QUESTÃO 37,"A bagaceira José Américo de Almeida Era o êxodo da seca de 1898. Uma ressurreição de cemitérios antigos — esqueletos redivivos, com o aspecto terroso e o fedor das covas podres. Os fantasmas estropiados como que iam dançando, de tão trôpegos e trêmulos, num passo arrastado de quem leva as pernas, em vez de ser levado por elas. Andavam devagar, olhando para trás, como quem quer voltar. Não tinham pressa em chegar, porque não sabiam aonde iam. Expulsos de seu paraíso por espadas de fogo, iam, ao acaso, em descaminhos, no arrastão dos maus fados. Fugiam do sol e o sol guiava-os nesse forçado nomadismo. Adelgaçados na magreira cômica, cresciam, como se o vento os levantasse. E os braços afinados desciam-lhes aos joelhos, de mãos abanando. Vinham escoteiros. Menos os hidrópicos — de ascite consecutiva à alimentação tóxica — com os fardos das barrigas alarmantes. Não tinham sexo, nem idade, nem condição nenhuma. Eram os retirantes. Nada mais. Os recursos composicionais que inserem a obra no chamado “Romance de 30” da literatura brasileira manifestam-se aqui no(a) ",A desenho cru da realidade dramática dos retirantes. ,B indefinição dos espaços para efeito de generalização. ,C análise psicológica da reação dos personagens à seca. ,D engajamento político do narrador ante as desigualdades. ,E contemplação lírica da paisagem transformada em alegoria. ,A,"{'A': 0.9996251604042367, 'B': 0.0002736938426682659, 'D': 7.568313173294231e-07, 'C': 3.988220781962847e-07, 'E': 9.999009969944241e-05}"
QUESTÃO 38,"Firmo, o vaqueiro Coelho Netto No dia seguinte, à hora em que saía o gado, estava eu debruçado à varanda quando vi o cafuzo que preparava o animal viajeiro: — Raimundinho, como vai ele?... De longe apontou a palhoça. — Sim. O braço caiu-lhe, olhou-me algum tempo comovido; depois, saltando para o animal, levou o polegar à boca fazendo estalar a unha nos dentes: “Às quatro horas da manhã... Atirei um verso e disse, para bulir com ele: Pega, velho! Não respondeu. Tio Firmo, mesmo velho e doente, não era homem para deixar um verso no chão... Fui ver, coitado!... estava morto”. E deu de esporas para que eu não lhe visse as lágrimas. A passagem registra um momento em que a expressividade lírica é reforçada pela ",A plasticidade da imagem do rebanho reunido. ,B sugestão da firmeza do sertanejo ao arrear o cavalo. ,C situação de pobreza encontrada nos sertões brasileiros. ,D afetividade demonstrada ao noticiar a morte do cantador. ,E preocupação do vaqueiro em demonstrar sua virilidade. ,D,"{'D': 0.9998998384295322, 'B': 7.379498875687361e-08, 'A': 6.932397640838064e-08, 'E': 2.8450502593751674e-08, 'C': 9.999000099990002e-05}"
QUESTÃO 39,"O bebê de tarlatana rosa João do Rio — [...] Na terça desliguei-me do grupo e caí no mar alto da depravação, só, com uma roupa leve por cima da pele e todos os maus instintos fustigados. De resto a cidade inteira estava assim. É o momento em que por trás das máscaras as meninas confessam paixões aos rapazes, é o instante em que as ligações mais secretas transparecem, em que a virgindade é dúbia, e todos nós a achamos inútil, a honra uma caceteação, o bom senso uma fadiga. Nesse momento tudo é possível, os maiores absurdos, os maiores crimes; nesse momento há um riso que galvaniza os sentidos e o beijo se desata naturalmente. Eu estava trepidante, com uma ânsia de acanalhar-me, quase mórbida. Nada de raparigas do galarim perfumadas e por demais conhecidas, nada do contato familiar, mas o deboche anônimo, o deboche ritual de chegar, pegar, acabar, continuar. Era ignóbil. Felizmente muita gente sofre do mesmo mal no carnaval. No texto, o personagem vincula ao carnaval atitudes e reações coletivas diante das quais expressa ",A consagração da alegria do povo. ,B atração e asco perante atitudes libertinas. ,C espanto com a quantidade de foliões nas ruas. ,D intenção de confraternizar com desconhecidos. ,E reconhecimento da festa como manifestação cultural. ,B,"{'B': 0.9998993657460846, 'A': 5.368211575428345e-07, 'D': 8.23242731408694e-08, 'E': 2.5107484754627843e-08, 'C': 9.999000099989997e-05}"
QUESTÃO 40,"Quarto de despejo: diário de uma favelada Carolina Maria de Jesus 10 de maio Fui na delegacia e falei com o tenente. Que homem amavel! Se eu soubesse que ele era tão amavel, eu teria ido na delegacia na primeira intimação. O tenente interessou-se pela educação dos meus filhos. Disse-me que a favela é um ambiente propenso, que as pessoas tem mais possibilidade de delinquir do que tornar-se util a patria e ao país. Pensei: se ele sabe disto, porque não faz um relatorio e envia para os politicos? O senhor Janio Quadros, o Kubstchek e o Dr. Adhemar de Barros? Agora falar para mim, que sou uma pobre lixeira. Não posso resolver nem as minhas dificuldades. ... O Brasil precisa ser dirigido por uma pessoa que já passou fome. A fome tambem é professora.  Quem passa fome aprende a pensar no próximo, e nas crianças. A partir da intimação recebida pelo filho de 9 anos, a autora faz uma reflexão em que transparece a ",A lição de vida comunicada pelo tenente. ,B predisposição materna para se emocionar. ,C atividade política marcante da comunidade. ,D resposta irônica ante o discurso da autoridade. ,E necessidade de revelar seus anseios mais íntimos. ,D,"{'D': 0.9415361851639161, 'A': 0.058338527309543795, 'E': 0.00011087380912420788, 'B': 1.1504838659367119e-05, 'C': 2.908878756433204e-06}"
QUESTÃO 41,"São vários os fatores, internos e externos, que influenciam os hábitos das pessoas no acesso à internet, assim como nas práticas culturais realizadas na rede. ","utilização das tecnologias de informação e comunicação está diretamente relacionada aos aspectos como: conhecimento de seu uso, acesso à linguagem letrada, nível de instrução, escolaridade, letramento digital etc. Os que detêm tais recursos (os mais escolarizados) são os que mais acessam a rede e também os que possuem maior índice de acumulatividade das práticas. A análise dos dados nos possibilita dizer que a falta de acesso à rede repete as mesmas adversidades e exclusões já verificadas na sociedade brasileira no que se refere a analfabetos, menos escolarizados, negros, população indígena e desempregados. Isso significa dizer que a internet, se não produz diretamente a exclusão, certamente a reproduz, tendo em vista que os que mais a acessam são justamente os mais jovens, escolarizados, remunerados, trabalhadores qualificados, homens e brancos. Ao analisarem a correlação entre os hábitos e o perfil socioeconômico dos usuários da internet no Brasil, os pesquisadores A A apontam o desenvolvimento econômico como solução para ampliar o uso da rede. ",B questionam a crença de que o acesso à informação é igualitário e democrático. ,C afirmam que o uso comercial da rede é a causa da exclusão de minorias. ,D refutam o vínculo entre níveis de escolaridade e dificuldade de acesso. ,E condicionam a expansão da rede à elaboração de políticas inclusivas. ,B,"{'B': 0.9998922025066422, 'E': 7.4105343815026985e-06, 'A': 3.6894878189428114e-07, 'D': 2.800919451904953e-08, 'C': 9.999000099989999e-05}"
QUESTÃO 42,"TEXTO 1 A língua não é uma nomenclatura, que se apõe a uma realidade pré-categorizada, ela é que classifica a realidade. No léxico, percebe-se, de maneira mais imediata, o fato de que a língua condensa as experiências de um dado povo. TEXTO 2 As expressões coloquiais ainda estão impregnadas de discriminação contra os negros. Basta recordar algumas delas, como passar um “dia negro”, ter um “lado negro”, ser a “ovelha negra” da família ou praticar “magia negra”. O Texto 2 exemplifica o que se afirma no Texto 1, na medida em que defende a ideia de que as escolhas lexicais são resultantes de um ",A expediente próprio do sistema linguístico que nos apresenta diferentes possibilidades para traduzir estados de coisas. ,B ato inventivo de nomear novas realidades que surgem diante de uma comunidade de falantes de uma língua. ,C mecanismo de apropriação de formas linguísticas que estão no acervo da formação do idioma nacional. ,D processo de incorporação de preconceitos que são recorrentes na história de uma sociedade. ,E recurso de expressão marcado pela objetividade que se requer na comunicação diária. ,D,"{'D': 0.9999998659040694, 'C': 5.399497012880786e-08, 'A': 4.012565464523452e-08, 'B': 2.715037603236228e-08, 'E': 1.2824929532029237e-08}"
QUESTÃO 43,"Descrição da imagem: Posicionado sob três grandes luminárias, um outdoor apresenta a seguinte mensagem: “Quanto custou? Proposta obriga órgão público a divulgar gasto com anúncio na própria peça publicitária. Qual sua opinião?”. O trecho “Quanto custou” está destacado com caixa alta e fonte maior. Considerando-se a função social dos posts, essa imagem evidencia a apropriação de outro gênero com o objetivo de ",A promover o uso adequado de campanhas publicitárias do governo. ,B divulgar o projeto sobre transparência da administração pública. ,C responsabilizar o cidadão pelo controle dos gastos públicos. ,D delegar a gestão de projetos de lei ao contribuinte. ,E assegurar a fiscalização dos gastos públicos. ,B,"{'B': 0.999944361006572, 'E': 4.985933097540635e-05, 'A': 3.288579339912087e-06, 'C': 1.5778776111518425e-06, 'D': 9.132055013794213e-07}"
QUESTÃO 44,"Descrição da imagem: Texto intitulado Manual de Orientação: o primeiro guia prático da Sociedade Brasileira de Pediatria para ajudar pais e pediatras no desafio de educar nativos digitais. Na sequência, entre duas linhas pontilhadas e onduladas, está escrito: “Trabalho de base”. Logo abaixo, acompanhadas de imagens, há três colunas com informações de acordo com três faixas etárias de crianças.    “Até 2 anos: A criança não deve ser exposta passivamente às telas — TV, tablet, celular etc.—, principalmente durante as refeições e até 2 horas antes de dormir.”. “De 2 a 5 anos: O tempo de exposição às telas deve ser limitado a 1 hora por dia. Crianças dessa faixa etária devem ser mais protegidas da violência virtual, pois não sabem separar fantasia de realidade.”. “Até 10 anos: Devem ter acesso controlado a computadores e dispositivos móveis. Crianças de até 10 anos não devem usar TV ou computador no próprio quarto.”. O texto sobre os chamados nativos digitais traz informações com a função de ",A propor ações específicas para cada etapa da infância. ,B estabelecer regras que devem ser seguidas à risca. ,C explicar os efeitos do acesso precoce à internet. ,D determinar a incorporação de rituais à educação dos filhos. ,E educar com base em um conjunto de estratégias formativas. ,A,"{'A': 0.9997991603489544, 'B': 8.057829200438802e-07, 'E': 7.378750263374306e-08, 'D': 9.998004031141942e-05, 'C': 9.998004031141942e-05}"
QUESTÃO 45,"Notas Machado de Assis Soluços, lágrimas, casa armada, veludo preto nos portais, um homem que veio vestir o cadáver, outro que tomou a medida do caixão, caixão, essa, tocheiros, convites, convidados que entravam, lentamente, a passo surdo, e apertavam a mão à família, alguns tristes, todos sérios e calados, padre e sacristão, rezas, aspersões d’água benta, o fechar do caixão, a prego e martelo, seis pessoas que o tomam da essa, e o levantam, e o descem a custo pela escada, não obstante os gritos, soluços e novas lágrimas da família, e vão até o coche fúnebre, e o colocam em cima e traspassam e apertam as correias, o rodar do coche, o rodar dos carros, um a um... Isto que parece um simples inventário eram notas que eu havia tomado para um capítulo triste e vulgar que não escrevo. O recurso linguístico que permite a Machado de Assis considerar um capítulo de Memórias póstumas de Brás Cubas como inventário é a ",A enumeração de objetos e fatos. ,B predominância de linguagem objetiva. ,C ocorrência de período longo no trecho. ,D combinação de verbos no presente e no pretérito. ,E presença de léxico do campo semântico de funerais. ,A,"{'A': 0.9997867076054756, 'E': 8.396352033316396e-06, 'B': 4.935960725245859e-06, 'D': 9.998004088281962e-05, 'C': 9.998004088281962e-05}"
QUESTÃO 46,"Empédocles estabelece quatro elementos corporais — fogo, ar, água e terra —, que são eternos e que mudam aumentando e diminuindo mediante mistura e separação; mas os princípios propriamente ditos, pelos quais aqueles são movidos, são o Amor e o Ódio. Pois é preciso que os elementos permaneçam alternadamente em movimento, sendo ora misturados pelo Amor, ora separados pelo Ódio. O texto propõe uma reflexão sobre o entendimento de Empédocles acerca da arché, uma preocupação típica do pensamento pré-socrático, porque ",A exalta a investigação filosófica. ,B transcende ao mundo sensível. ,C evoca a discussão cosmogônica. ,D fundamenta as paixões humanas. ,E corresponde à explicação mitológica. ,C,"{'C': 0.9999275045249714, 'B': 2.5070409073814606e-05, 'A': 2.0144639622429094e-05, 'E': 1.8057538252298343e-05, 'D': 9.222888080014374e-06}"
QUESTÃO 47,"Macrocefalia urbana pode ser entendida como a massiva concentração das atividades econômicas em algumas metrópoles que propicia o desencadeamento de processos descompassados: redirecionamento e convergência de fluxos migratórios, déficit no número de empregos, ocupação desordenada de determinadas regiões da cidade e estigmatização de estratos sociais, que comprometem substancialmente a segurança pública urbana. O processo de concentração espacial apresentado foi estimulado por qual fator geográfico? ",A Limitação da área ocupada. ,B Êxodo da população do campo. ,C Ampliação do risco habitacional. ,D Deficiência do transporte alternativo. ,E Crescimento da taxa de fecundidade. ,B,"{'B': 0.9998970400715819, 'A': 2.94772187920493e-06, 'D': 1.2823595939502758e-08, 'C': 9.381943208636913e-09, 'E': 9.999000099990004e-05}"
QUESTÃO 48,"Entretanto, nosso amigo Basso tem o ânimo alegre. Isso resulta da filosofia: estar alegre diante da morte, forte e contente qualquer que seja o estado do corpo, sem desfalecer, ainda que desfaleça. O excerto refere-se a uma carta de Sêneca na qual se apresenta como um bem fundamental da filosofia promover a ",A valorização de disputas dialógicas. ,B rejeição das convenções sociais. ,C inspiração de natureza religiosa. ,D exaltação do sofrimento. ,E moderação das paixões. ,E,"{'E': 0.960097182348543, 'D': 0.03901356545975295, 'B': 0.0007971476325318969, 'A': 5.59685483825973e-05, 'C': 3.613601078953213e-05}"
QUESTÃO 49,"Quando os espanhóis chegaram à América, estava em seu apogeu o império teocrático dos Incas, que estendia seu poder sobre o que hoje chamamos Peru, Bolívia e Equador, abarcava parte da Colômbia e do Chile e alcançava até o norte argentino e a selva brasileira; a confederação dos Astecas tinha conquistado um alto nível de eficiência no vale do México, e no Yucatán, na América Central, a esplêndida civilização dos Maias persistia nos povos herdeiros, organizados para o trabalho e para a guerra. Os Maias tinham sido grandes astrônomos, mediram o tempo e o espaço com assombrosa precisão, e tinham descoberto o valor do número zero antes de qualquer povo da história. No museu de Lima, podem ser vistos centenas de crânios que receberam placas de ouro e prata por parte dos cirurgiões Incas. As sociedades mencionadas deixaram como legado uma diversidade de ",A bens religiosos inspirados na matriz cristã. ,B materiais bélicos pilhados em batalhas coloniais. ,C heranças culturais constituídas em saberes próprios. ,D costumes laborais moldados em estilos estrangeiros. ,E práticas medicinais alicerçadas no conhecimento científico. ,C,"{'C': 0.9999889636550238, 'E': 1.061613147867891e-05, 'D': 2.0377266004667077e-07, 'A': 1.378794787099853e-07, 'B': 7.856135885180273e-08}"
QUESTÃO 50,"Em Vitória (ES), no bairro Goiabeiras, encontramos as paneleiras, mulheres que são conhecidas pelos saberes/fazeres das tradicionais panelas de barro, ícones da culinária capixaba. A tradição passada de mãe para filha é de origem indígena e sofreu influência de outras etnias, como a afro e a luso. Dessa mistura, acredita-se que a fabricação das panelas de barro já tenha 400 anos. A fabricação das panelas de barro se dá em várias etapas, desde a obtenção de matéria-prima à confecção das panelas. As matérias-primas tradicionalmente utilizadas são provenientes do meio natural, como: argila, retirada do barreiro no Vale do Mulembá; madeira, atualmente proveniente das sobras da construção civil; e tinta, extraída da casca do manguezal, o popular mangue-vermelho. Uma característica de práticas tradicionais como a exemplificada no texto é a vinculação entre os recursos do mundo natural e a ",A manutenção dos modos de vida. ,B conservação dos plantios da roça. ,C atualização do modelo de gestão. ,D participação na sociedade de consumo. ,E especialização nas etapas de produção. ,A,"{'A': 0.999899203556187, 'B': 6.276077076086513e-07, 'D': 9.776232734573784e-08, 'E': 8.104781603070068e-08, 'C': 9.999002596191359e-05}"
QUESTÃO 51,"Descrição da imagem: Mapa intitulado Rochas ígneas da Amazônia Legal destaca a Amazônia Legal em recorte do mapa do Brasil e apresenta áreas com ocorrência de rochas ígneas em diversos estados, com maior incidência no Pará. O mapa espacializa um recurso natural com alto potencial para ocorrência de: ",A Abalos sísmicos periódicos. ,B Jazidas de minerais metálicos. ,C Reservas de combustíveis fósseis. ,D Aquíferos sedimentares profundos. ,E Estruturas geológicas metamórficas. ,B,"{'B': 0.9998998477423737, 'A': 1.4448357747806803e-07, 'D': 1.0466355247950694e-08, 'E': 7.306693533411561e-09, 'C': 9.999000099990002e-05}"
QUESTÃO 52,"Nascidas no Líbano, as duas irmãs não puderam ser registradas no país, porque lá é exigido que os nascidos sejam filhos de pais e mães libaneses. Seus pais, de nacionalidade síria, também não puderam registrá-las no país de origem. Na Síria, crianças só são registradas por pais oficialmente casados, o que não era o caso deles. Em situações como a apresentada no texto, as pessoas ao nascerem já se encontram na condição sociopolítica de ",A exiladas. ,B apátridas. ,C foragidas. ,D refugiadas. ,E clandestinas. ,B,"{'B': 0.9998996378401683, 'A': 3.6895175298718946e-07, 'D': 2.263508141565664e-09, 'E': 9.435705754518096e-10, 'C': 9.999000099990002e-05}"
QUESTÃO 53,"TEXTO 1 Uma filosofia da percepção que queira reaprender a ver o mundo restituirá à pintura e às artes em geral seu lugar verdadeiro.  TEXTO 2 Os grandes autores de cinema nos pareceram confrontáveis não apenas com pintores, arquitetos, músicos, mas também com pensadores. Eles pensam com imagens, em vez de conceitos. De que modo os textos sustentam a existência de um saber ancorado na sensibilidade? ",A Admitindo o belo como fenômeno transcendental. ,B Reafirmando a vivência estética como juízo de gosto. ,C Considerando o olhar como experiência de conhecimento. ,D Apontando as formas de expressão como auxiliares da razão. ,E Estabelecendo a inteligência como implicação das representações. ,C,"{'C': 0.9999990858036811, 'A': 5.285513438788802e-07, 'D': 2.3454323708599295e-07, 'B': 8.494584627338196e-08, 'E': 6.615589159637304e-08}"
QUESTÃO 54,"TEXTO 1 Manda o Santo Ofício da Inquisição que ninguém, seja qual for seu estado, idade ou condição, pare com carroça, caleça ou montaria nem atrapalhe com mesas ou cadeiras o centro das ruas, que vão da Inquisição a São Domingos, nem atravesse a procissão em ponto algum da ida ou da volta, amanhã, 19 do corrente, em que se celebrará auto de fé. E também que nem nesse dia nem nos dos açoites ouse alguém atirar nos réus maçãs, pedras, laranjas nem outra coisa qualquer. TEXTO 2 Como acontece em todos os ritos, o sentido do auto da fé é conferido pela sequência dos atos que o compõem. Os lugares, as posturas, os gestos, as palavras são fixados previamente em toda a sua complexidade. Por isso, o auto da fé apresenta momentos fortes — durante a preparação, a encenação, o ato e a recepção — que convém seguir em seus pormenores. O rito mencionado nos textos demonstra a capacidade da Igreja em ",A abrandar cerimônias de punição. ,B favorecer anseios de violência. ,C criticar políticas de disciplina. ,D produzir padrões de conduta. ,E ordenar cultos de heresia. ,D,"{'D': 0.9999998427890963, 'A': 1.0738181778200856e-07, 'E': 2.0176445776002215e-08, 'B': 1.6212229637831076e-08, 'C': 1.344041044038925e-08}"
QUESTÃO 55,"Descrição da imagem: Mapa intitulado Possível trajeto do voo MH370 da Malaysia Airlines antes da queda, em 2014, apresenta linhas de trajetória do voo desde a Malásia até o último contato e desde esse ponto até o local onde os destroços foram avistados no Oceano Índico. A medida da distância desse local dos destroços até a cidade de Perth na Austrália está representada numa reta em 2 500 quilômetros.  Considerando-se que a distância entre o local onde os destroços do avião foram avistados e a cidade de Perth é de 2 centímetros, a escala aproximada dessa representação cartográfica é: ",A 1 para 12 500. ,B 1 para 125 000. ,C 1 para 1 250 000. ,D 1 para 12 500 000. ,E 1 para 125 000 000. ,D,"{'D': 0.9943429700979142, 'C': 0.004901700673792868, 'B': 0.0005330352196716235, 'A': 0.0002087395912403115, 'E': 1.3554417380874889e-05}"
QUESTÃO 56,"Memórias de um tamborete de baiana Hoje sou um ser inanimado, mas já tive vida pulsante em seivas vegetais, fui um ser vivo; é bem verdade que do reino vegetal, mas isso não me tirou a percepção de vida vivida como tamborete. Guardo apreço pelos meus criadores, as mãos que me fizeram, me venderam, e pelas mulheres que me usaram para suas vendas e de tantas outras maneiras. Essas pessoas, sim, tiveram suas subjetividades, singularidades e pluralidades, que estão incorporadas a mim. É preciso considerar que a nossa história, de móveis de museus, está para além da mera vinculação aos estilos e à patrimonialização que recebemos como bem material vinculado ao patrimônio imaterial. A nossa história está ligada aos dons individuais das pessoas e suas práticas sociais. Alguns indivíduos consagravam-se por terem determinados requisitos, tais como o conhecimento de modelos clássicos ou destreza nos desenhos. Ao descrever-se como patrimônio museológico, o objeto abordado no texto associa a sua história às ",A habilidades artísticas e culturais dos sujeitos. ,B vocações religiosas e pedagógicas dos mestres. ,C naturezas antropológica e etnográfica dos expositores. ,D preservações arquitetônica e visual dos conservatórios. ,E competências econômica e financeira dos comerciantes. ,A,"{'A': 0.9997995347290385, 'B': 4.4499599787132205e-07, 'E': 6.022359918744523e-08, 'D': 9.998002568223642e-05, 'C': 9.998002568223642e-05}"
QUESTÃO 57,"Advento da Polis, nascimento da filosofia: entre as duas ordens de fenômenos, os vínculos são demasiado estreitos para que o pensamento racional não apareça, em suas origens, solidário das estruturas sociais e mentais próprias da cidade grega. Assim recolocada na história, a filosofia despoja-se desse caráter de revelação absoluta que às vezes lhe foi atribuído, saudando, na jovem ciência dos jônios, a razão intemporal que veio encarnar-se no Tempo. A escola de Mileto não viu nascer a Razão; ela construiu uma Razão, uma primeira forma de racionalidade. Essa razão grega não é a razão experimental da ciência contemporânea. Os vínculos entre os fenômenos indicados no trecho foram fortalecidos pelo surgimento de uma categoria de pensadores, a saber: ","A Os epicuristas, envolvidos com o ideal de vida feliz. ","B Os estoicos, dedicados à superação dos infortúnios. ","C Os sofistas, comprometidos com o ensino da retórica. ","D Os peripatéticos, empenhados na dinâmica do ensino. ","E Os poetas rapsodos, responsáveis pela narrativa do mito. ",C,"{'C': 0.9999534054938982, 'B': 2.586688671258245e-05, 'A': 1.1300405899858255e-05, 'D': 8.139377032196938e-06, 'E': 1.2878364572231337e-06}"
QUESTÃO 58,"Decreto-Lei n. 1 949, de 27/12/1937 Art. 1º Fica criado o Departamento de Imprensa e Propaganda (DIP), diretamente subordinado ao presidente da República. Art. 2º O DIP tem por fim:  h) coordenar e incentivar as relações da imprensa com os poderes públicos no sentido de maior aproximação da mesma com os fatos que se ligam aos interesses nacionais;  n) autorizar mensalmente a devolução dos depósitos efetuados pelas empresas jornalísticas para a importação de papel para imprensa, uma vez demonstrada, a seu juízo, a eficiência e a utilidade pública dos jornais ou periódicos por elas administrados ou dirigidos. Com base nos trechos do decreto, as finalidades do órgão criado permitiram ao governo promover o(a) ",A diversificação da opinião pública. ,B mercantilização da cultura popular. ,C controle das organizações sindicais. ,D cerceamento da liberdade de expressão. ,E privatização dos meios de comunicação. ,D,"{'D': 0.9999995787117159, 'C': 2.2033317832766763e-07, 'A': 8.764248313498266e-08, 'B': 7.734421990144484e-08, 'E': 3.5968402606709435e-08}"
QUESTÃO 59,"Descrição da imagem: Mapa do Brasil intitulado Radiação solar global horizontal — média anual apresenta manchas que mensuram a gradação de quilowatt-hora por metro quadrado e mostra a menor gradação na Amazônia e na região litorânea, gradação média na região central e a maior gradação no interior da Região Nordeste, norte de Minas Gerais, Goiás e sul do Tocantins. Uma característica regional que justifica o maior potencial anual médio para o aproveitamento da energia solar é a reduzida ",A declividade do relevo. ,B extensão longitudinal. ,C nebulosidade atmosférica. ,D irregularidade pluviométrica. ,E influência da continentalidade. ,C,"{'C': 0.9999840752504422, 'A': 1.0783256009606607e-05, 'D': 3.844888337535732e-06, 'B': 9.276224808287899e-07, 'E': 3.689827299217027e-07}"
QUESTÃO 60,"O povo Kambeba é o povo das águas. Os mais velhos costumam contar que o povo nasceu de uma gota-d’água que caiu do céu em uma grande chuva. Nessa gota estavam duas gotículas: o homem e a mulher. “Por essa narrativa e cosmologia indígena de que nós somos o povo das águas é que o rio nos tem fundamental importância”, diz Márcia Wayna Kambeba, mestre em Geografia e escritora. Todos os dias, ela ia com o pai observar o rio. Ia em silêncio e, antes que tomasse para si a palavra, era interrompida. “Ouça o rio”, o pai dizia. Depois de cerca de duas horas a ouvir as águas do Solimões, ela mergulhava. “Confie no rio e aprenda com ele”. “Fui entender mais tarde, com meus estudos e vivências, que meu pai estava me apresentando à sabedoria milenar do rio”. Pelo descrito no texto, o povo Kambeba tem o rio como um(a) ",A objeto tombado e museográfico. ,B herança religiosa e sacralizada. ,C cenário bucólico e paisagístico. ,D riqueza individual e efêmera. ,E patrimônio cultural e afetivo. ,E,"{'E': 0.9999907463169081, 'B': 8.139680388571795e-06, 'A': 4.812472608870404e-07, 'D': 4.664408392524271e-07, 'C': 1.6631460306555985e-07}"
QUESTÃO 61,"Lá embaixo está o Açude Itans, com seu formigueiro a cavar a terra. É mesmo impressionante o esforço daquele formigar de homens ao sol, lavados em suor, que não param, em longas filas pacientes acompanhando centenas de burricos que sobem e descem, numa ciranda comovente e silenciosa, cada burrico com duas caixas de terra no lombo. É o labor organizado para a salvação da terra e do homem. Depois do semideserto que tanto nos acabrunhou o espírito por falta de chuvas, o esforço destes milhares de sertanejos, todos vestidos de brim mescla e calçando alpercatas, no combate consciente à esterilidade da natureza, com as famílias alojadas em pequeninas casas de taipa e telha — embrião de futura cidade — impressionava-nos profundamente. Na construção do empreendimento descrito, destaca-se a presença de ",A engenheiros na execução de canais fluviais. ,B coronéis na ampliação de antigas fazendas. ,C operários na distribuição dos recursos hídricos. ,D trabalhadores na formação de novos espaços. ,E negociantes na organização de redes comerciais. ,D,"{'D': 0.9999996767390388, 'A': 1.1979308295057812e-07, 'C': 9.329494680844784e-08, 'E': 6.023574493004291e-08, 'B': 4.9937186502293e-08}"
QUESTÃO 62,"Para os Impérios Coloniais, o problema das doenças que atingiam os escravos era algo com que cotidianamente deparavam os senhores. Em vista disso, uma série de obras dedicadas à administração de escravos foi publicada com vista a implementar uma moderna gestão da mão de obra escravista em convergência com o Iluminismo. Nesse contexto, o saber médico adquiria um papel extremamente relevante. Este era encarado como um instrumento fundamental ao desenvolvimento colonial, dada a percepção do impacto que as doenças tropicais causavam na população branca e nos povos escravizados. De acordo com o texto, a importância da medicina se justifica no âmbito dos objetivos ",A econômicos das elites. ,B naturalistas dos viajantes. ,C abolicionistas dos letrados. ,D tradicionalistas dos nativos. ,E emancipadores das metrópoles. ,A,"{'A': 0.9997998870829538, 'B': 1.3361201449270585e-07, 'E': 1.924865495638093e-08, 'D': 9.998002818837258e-05, 'C': 9.998002818837258e-05}"
QUESTÃO 63,"TEXTO 1 Interseccionalidade: intercruzamento de desigualdades que gera padrões complexos de discriminação. TEXTO 2 Descrição da imagem: Infográfico intitulado Proporção de pessoas abaixo da linha de pobreza — por arranjo domiciliar no Brasil — 2017 apresenta os seguintes dados: Mulher sem cônjuge e com filho(s) até 14 anos: 56,9 por cento; Mulher preta ou parda sem cônjuge e com filho(s) até 14 anos: 64,4 por cento; Mulher branca sem cônjuge e com filho(s) até 14 anos: 41,5 por cento; Casal com filho(s): 30,4 por cento; Outros: 21 por cento; Unipessoal: 11,6 por cento; Casal sem filho: 10 por cento. Considerando o conceito apresentado no Texto 1 e os dados apresentados no Texto 2, no Brasil, são fatores que intensificam o fenômeno da discriminação: ",A Raça e gênero. ,B Etnia e habitação. ,C Idade e nupcialidade. ,D Profissão e sexualidade. ,E Escolaridade e fecundidade. ,A,"{'A': 0.999799698971905, 'B': 3.2556595248074414e-07, 'D': 1.5226922224550872e-08, 'C': 9.998011761016091e-05, 'E': 9.998011761016091e-05}"
QUESTÃO 64,"O princípio básico do Estado de direito é o da eliminação do arbítrio no exercício dos poderes públicos, com a consequente garantia de direitos dos indivíduos perante esses poderes. Estado de direito significa que nenhum indivíduo, presidente ou cidadão comum está acima da lei. Os governos democráticos exercem a autoridade por meio da lei e estão eles próprios sujeitos aos constrangimentos impostos pela lei. Nas sociedades contemporâneas, consiste em violação do princípio básico enunciado no texto: ",A Supressão de eleições de representantes políticos. ,B Intervenção em áreas de vulnerabilidade pela Igreja. ,C Disseminação de projetos sociais em universidades. ,D Ampliação dos processos de concentração de renda. ,E Regulamentação das relações de trabalho pelo Legislativo. ,A,"{'A': 0.9997999156885617, 'B': 1.040572530251921e-07, 'D': 2.0172418640104275e-08, 'C': 9.998004088328615e-05, 'E': 9.998004088328615e-05}"
