question,body,A,B,C,D,E,gpt-4_answer,gpt-4_probs
QUESTÃO 139,"O governo de um estado pretende realizar uma obra de infraestrutura para auxiliar na integração e no processo de escoamento da produção agrícola de duas cidades. O projeto consiste na interligação direta das cidades A e B com a Rodovia 003, pela construção das Rodovias 001 e 002. As duas rodovias serão construídas em linha reta e deverão se conectar à Rodovia 003 em um mesmo ponto, conforme esboço apresentado na figura, na qual estão também indicadas as posições das cidades A e B, considerando o eixo x posicionado sobre a Rodovia 003, e cinco localizações sugeridas para o ponto de conexão entre as três rodovias. Descrição da imagem: Gráfico apresenta um sistema de eixos cartesianos em que ambos os eixos têm o quilômetro como unidade de medida. O eixo x se situa sobre a Rodovia 003. A cidade A está situada no ponto de coordenadas (20; 40), e a cidade B está situada no ponto de coordenadas (50; 20). Há cinco pontos marcados sobre o eixo x , que indicam cinco sugestões para o ponto de conexão entre as três rodovias. Os trajetos sugeridos para a Rodovia 001 estão representados por segmentos de reta tracejados, e para a Rodovia 002 estão representados por segmentos de reta cheios. Coordenadas dos pontos de conexão: Ponto 1: (20; 0); Ponto 2: (30; 0); Ponto 3: (35; 0); Ponto 4: (40; 0); Ponto 5: (50; 0).  Pretende-se que a distância percorrida entre as duas cidades, pelas Rodovias 001 e 002, passando pelo ponto de conexão, seja a menor possível. Dadas as exigências do projeto, qual das localizações sugeridas deve ser a escolhida para o ponto de conexão?",A 1,B 2,C 3,D 4,E 5,C,"{'C': 0.417255303988681, 'B': 0.2779519686817994, 'A': 0.26940028563452795, 'D': 0.03533762725826276, 'E': 5.481443672905901e-05}"
QUESTÃO 140,"Uma pessoa precisa contratar um operário para fazer um serviço em sua casa. Para isso, ela postou um anúncio em uma rede social. Cinco pessoas responderam informando preços por hora trabalhada, gasto diário com transporte e tempo necessário para conclusão do serviço, conforme valores apresentados no quadro. Descrição da imagem: Quadro que apresenta informações do Operário em relação ao preço por hora em real, preço do transporte em real e tempo até conclusão em hora, mostra os seguintes dados: Operário 1: Preço por hora, 120 reais; preço do transporte, zero real; tempo até conclusão, 8 horas; Operário 2: Preço por hora, 180 reais; preço do transporte, zero real; tempo até conclusão, 6 horas; Operário 3: Preço por hora, 170 reais; preço do transporte, 20 reais; tempo até conclusão, 6 horas; Operário 4: Preço por hora, 110 reais; preço do transporte, 10 reais; tempo até conclusão, 9 horas; Operário 5: Preço por hora, 110 reais; preço do transporte, zero real; tempo até conclusão, 10 horas.  Se a pessoa pretende gastar o mínimo possível com essa contratação, irá contratar o operário",A 1.,B 2.,C 3.,D 4.,E 5.,E,"{'E': 0.6020352999248282, 'A': 0.3651528785882854, 'D': 0.02997357353643208, 'B': 0.0027879760747142207, 'C': 5.027187574021214e-05}"
QUESTÃO 141,"Uma cozinheira produz docinhos especiais por encomenda. Usando uma receita-base de massa, ela prepara uma porção, com a qual produz 50 docinhos maciços de formato esférico, com 2 centímetros de diâmetro. Um cliente encomenda 150 desses docinhos, mas pede que cada um tenha formato esférico com 4 centímetros de diâmetro. A cozinheira pretende preparar o número exato de porções da receita-base de massa necessário para produzir os docinhos dessa encomenda. Quantas porções da receita-base de massa ela deve preparar para atender esse cliente?",A 2,B 3,C 6,D 12,E 24,D,"{'D': 0.7678453525071962, 'C': 0.2199913987392541, 'B': 0.01130040141962904, 'E': 0.00043816411322658284, 'A': 0.00042468322069405995}"
QUESTÃO 142,"Nos cinco jogos finais da última temporada, com uma média de 18 pontos por jogo, um jogador foi eleito o melhor do campeonato de basquete. Na atual temporada, cinco jogadores têm a chance de igualar ou melhorar essa média. No quadro estão registradas as pontuações desses cinco jogadores nos quatro primeiros jogos das finais deste ano. Descrição da imagem: Quadro que relaciona jogadores à quantidade de pontos marcados por jogo, mostra os seguintes dados: jogador 1: 12 no jogo 1; 25 no jogo 2; 20 no jogo 3; 20 no jogo 4; jogador 2: 12 no jogo 1; 12 no jogo 2; 27 no jogo 3; 20 no jogo 4; jogador 3: 14 no jogo 1; 14 no jogo 2; 17 no jogo 3; 26 no jogo 4; jogador 4: 15 no jogo 1; 18 no jogo 2; 21 no jogo 3; 21 no jogo 4; jogador 5: 22 no jogo 1; 15 no jogo 2; 23 no jogo 3; 15 no jogo 4.   O quinto e último jogo será realizado para decidir a equipe campeã e qual o melhor jogador da temporada. O jogador que precisa fazer a menor quantidade de pontos no quinto jogo, para igualar a média de pontos do melhor jogador da temporada passada, é o",A 1,B 2,C 3,D 4,E 5,D,"{'D': 0.9584296908806968, 'E': 0.03491079729757268, 'B': 0.005029378206712991, 'A': 0.0011398781372174002, 'C': 0.0004902554777999813}"
QUESTÃO 143,"Um casal planeja construir em sua chácara uma piscina com o formato de um paralelepípedo reto retângulo com capacidade para 90 000 litros de água. O casal contratou uma empresa de construções que apresentou cinco projetos com diferentes combinações nas dimensões internas de profundidade, largura e comprimento. A piscina a ser construída terá revestimento interno em suas paredes e fundo com uma mesma cerâmica, e o casal irá escolher o projeto que exija a menor área de revestimento. As dimensões internas de profundidade, largura e comprimento, respectivamente, para cada um dos projetos, são: • projeto 1: 1,8 metro , 2,0 metros e 25,0 metros ; • projeto 2: 2,0 metros , 5,0 metros e 9,0 metros ; • projeto 3: 1,0 metro , 6,0 metros e 15,0 metros ; • projeto 4: 1,5 metro , 15,0 metros e 4,0 metros ; • projeto 5: 2,5 metros , 3,0 metros e 12,0 metros . O projeto que o casal deverá escolher será o",A 1,B 2,C 3,D 4,E 5,C,"{'C': 0.9644385303262814, 'D': 0.028227482529346985, 'B': 0.006104623049783592, 'E': 0.0008007522834556471, 'A': 0.0004286118111323131}"
QUESTÃO 144,"Uma instituição de ensino superior ofereceu vagas em um processo seletivo de acesso a seus cursos. Finalizadas as inscrições, foi divulgada a relação do número de candidatos por vaga em cada um dos cursos oferecidos. Esses dados são apresentados no quadro. Descrição da imagem: Quadro que relaciona curso com número de vagas oferecidas e número de candidatos por vaga, mostra os seguintes dados: Administração: 30 vagas oferecidas e 6 candidatos por vaga; Ciências Contábeis: 40 vagas oferecidas e 6 candidatos por vaga; Engenharia Elétrica: 50 vagas oferecidas e 7 candidatos por vaga; História: 30 vagas oferecidas e 8 candidatos por vaga; Letras: 25 vagas oferecidas e 4 candidatos por vaga; Pedagogia: 25 vagas oferecidas e 5 candidatos por vaga.   Qual foi o número total de candidatos inscritos nesse processo seletivo?",A 200,B 400,C 1 200,D 1 235,E 7 200,D,"{'D': 0.9722150747386746, 'C': 0.027579622292442634, 'B': 0.00017732029193923872, 'E': 2.2543745279417635e-05, 'A': 5.438931663921531e-06}"
QUESTÃO 145,"Peças metálicas de aeronaves abandonadas em aeroportos serão recicladas. Uma dessas peças é maciça e tem o formato cilíndrico, com a medida do raio da base igual a 4 centímetros e a da altura igual a 50 centímetros. Ela será derretida, e o volume de metal resultante será utilizado para a fabricação de esferas maciças com diâmetro de 1 centímetro, a serem usadas para confeccionar rolamentos. Para estimar a quantidade de esferas que poderão ser produzidas a partir de cada uma das peças cilíndricas, admite-se que não ocorre perda de material durante o processo de derretimento. Quantas dessas esferas poderão ser obtidas a partir de cada peça cilíndrica?",A 800,B 1 200,C 2 400,D 4 800,E 6 400,D,"{'D': 0.9838468650174421, 'E': 0.00906091666382219, 'C': 0.005670176760579706, 'B': 0.0008427965352658102, 'A': 0.0005792450228903688}"
QUESTÃO 146,"Uma pessoa precisa se deslocar de automóvel do ponto P para o ponto Q , indicados na figura, na qual as linhas verticais e horizontais simbolizam ruas. Descrição da imagem: Figura de uma malha quadriculada com 7 linhas horizontais e 7 verticais, sobre a qual está traçado um trajeto poligonal, por meio de uma linha contínua sobre as linhas de grade da malha, unindo o ponto inicial P , localizado na segunda linha vertical, da esquerda para a direita, e entre a sexta e a sétima linhas horizontais, de cima para baixo, ao ponto final Q , que está localizado entre a sexta e a sétima linhas verticais, da esquerda para a direita, e sobre a segunda linha horizontal, de cima para baixo. O caminho poligonal está traçado segundo deslocamentos nos sentidos norte, sul e leste a partir do ponto P . A sequência de deslocamentos é: De P até o primeiro cruzamento no sentido norte; Desse ponto segue até o segundo cruzamento no sentido leste; Em seguida, toma o sentido norte até o segundo cruzamento; Posteriormente, toma o sentido leste até o próximo cruzamento; Depois, segue no sentido sul até o cruzamento seguinte; Segue para leste até o próximo cruzamento; Desse ponto, toma o sentido norte até o terceiro cruzamento; Por fim, toma o sentido leste até alcançar o ponto Q . Por causa do sentido de tráfego nessas ruas, o caminho poligonal destacado é a possibilidade mais curta de efetuar esse deslocamento. Para descrevê-lo, deve-se especificar qual o sentido a ser tomado em cada cruzamento de ruas, em relação à direção de deslocamento do automóvel, que se movimentará continuamente. Para isso, empregam-se as letras E, F e D para indicar “vire à esquerda”, “siga em frente” e “vire à direita”, respectivamente. A sequência de letras que descreve o caminho poligonal destacado é",A DDEFDDEEFFD.,B DFEFDDDEFFD.,C DFEFDDEEFFD.,D EFDFEEDDFFE.,E EFDFEEEDFFE.,A,"{'A': 0.4356939863021135, 'C': 0.3844985933863503, 'B': 0.1760362924083441, 'D': 0.0030288711145543636, 'E': 0.0007422567886378894}"
QUESTÃO 147,"Uma loja comercializa cinco modelos de caixas-d’água ( 1, 2, 3, 4 e 5), todos em formato de cilindro reto de base circular. Os modelos 2, 3, 4 e 5 têm as especificações de suas dimensões dadas em relação às dimensões do modelo 1, cuja profundidade é P e área da base é","b, como segue: • modelo 2: o dobro da profundidade e a metade da área da base do modelo 1; • modelo 3: o dobro da profundidade e a metade do raio da base do modelo 1; • modelo 4: a metade da profundidade e o dobro da área da base do modelo 1; • modelo 5: a metade da profundidade e o dobro do raio da base do modelo 1. Uma pessoa pretende comprar nessa loja o modelo de caixa-d’água que ofereça a maior capacidade volumétrica. O modelo escolhido deve ser o A A 1.",B 2.,C 3.,D 4.,E 5.,C,"{'C': 0.8941988629284441, 'B': 0.08317345631018705, 'D': 0.01445337515741131, 'A': 0.007498312252296695, 'E': 0.0006759933516609782}"
QUESTÃO 148,"No período de 2005 a 2013, o valor de venda dos imóveis em uma cidade apresentou alta, o que resultou no aumento dos aluguéis. Os gráficos apresentam a evolução desses valores, para um mesmo imóvel, no mercado imobiliário dessa cidade. Descrição da imagem: Dois gráficos de coluna. O primeiro gráfico, que apresenta os anos no eixo horizontal e o valor mensal do aluguel em real no eixo vertical, mostra os seguintes dados: 2005: 630; 2007: 960; 2009: 1 350; 2011: 1 800; 2013: 3 240. O segundo gráfico, que apresenta os anos no eixo horizontal e o valor de mercado do imóvel, em milhar de reais no eixo vertical, mostra os seguintes dados: 2005: 90; 2007: 120; 2009: 270; 2011: 450; 2013: 540. Valor mensal do aluguel (R$) Valor de mercado do imóvel (milhar de R$) A rentabilidade do aluguel de um imóvel é calculada pela razão entre o valor mensal de aluguel e o valor de mercado desse imóvel. Com base nos dados fornecidos, em que ano a rentabilidade do aluguel foi maior?",A 2005,B 2007,C 2009,D 2011,E 2013,A,"{'A': 0.9999371326188262, 'B': 5.3074552885214865e-05, 'C': 8.664182584011616e-06, 'D': 6.083210968195504e-07, 'E': 5.203246076671286e-07}"
QUESTÃO 149,"Em uma universidade, atuam professores que estão enquadrados funcionalmente pela sua maior titulação: mestre ou doutor. Nela há, atualmente, 60 mestres e 40 doutores. Os salários mensais dos professores mestres e dos doutores são, respectivamente, 8 000 reais e 12 000 reais . A diretoria da instituição pretende proporcionar um aumento salarial diferenciado para o ano seguinte, de tal forma que o salário médio mensal dos professores dessa instituição não ultrapasse 12 240 reais. A universidade já estabeleceu que o aumento salarial será de 25 por cento para os mestres e precisa ainda definir o percentual de reajuste para os doutores. Mantido o número atual de professores com suas atuais titulações, o aumento salarial, em porcentagem, a ser concedido aos doutores deverá ser de, no máximo,","A 14,4.","B 20,7.","C 22,0.","D 30,0.","E 37,5.",A,"{'A': 0.9876236888777531, 'B': 0.012049845924318762, 'C': 0.00015896463442394206, 'D': 0.00012974315332861368, 'E': 3.775741017558478e-05}"
QUESTÃO 150,"Um borrifador de atuação automática libera, a cada acionamento, uma mesma quantidade de inseticida. O recipiente desse produto, quando cheio, contém 360 mililitros de inseticida, que duram 60 dias se o borrifador permanecer ligado ininterruptamente e for acionado a cada 48 minutos. A quantidade de inseticida que é liberada a cada acionamento do borrifador, em mililitro, é","A 0,125.","B 0,200.","C 4,800.","D 6,000.","E 12,000.",A,"{'A': 0.9940384456861131, 'B': 0.0057289128352732525, 'C': 0.00011889973318235493, 'D': 0.0001116959625165411, 'E': 2.0457829147825556e-06}"
QUESTÃO 151,"Definem-se o dia e o ano de um planeta de um sistema solar como sendo, respectivamente, o tempo que o planeta leva para dar 1 volta completa em torno de seu próprio eixo de rotação e o tempo para dar 1 volta completa em torno de seu Sol. Suponha que exista um planeta Z, em algum sistema solar, onde um dia corresponda a 73 dias terrestres e que 2 de seus anos correspondam a 1 ano terrestre. Considere que 1 ano terrestre tem 365 de seus dias. No planeta Z, seu ano corresponderia a quantos de seus dias?","A 2,5","B 10,0","C 730,0","D 13 322,5","E 53 290,0",C,"{'C': 0.5943419311555981, 'D': 0.3837359920449196, 'E': 0.020337263534729477, 'A': 0.000951186473105891, 'B': 0.0006336267916470742}"
QUESTÃO 152,"Quarenta mudas de flores devem ser plantadas no contorno de um canteiro circular de 2,2 metros de diâmetro, com um espaçamento padrão de 12 centímetros entre mudas. Fazendo-se os cálculos, chegou-se à conclusão de que não havia mudas suficientes e optou-se, então, por alterar o espaçamento padrão. Use 3 como aproximação para pi. Em quantos centímetros deve ser aumentado o espaçamento padrão entre as mudas?","A 4,50","B 6,15","C 9,07","D 21,00","E 24,30",B,"{'B': 0.9600461643669056, 'A': 0.030860636100679455, 'C': 0.004732631352769939, 'E': 0.0029616050239167726, 'D': 0.0013989631557280364}"
QUESTÃO 153,"Em uma loja, o preço promocional de uma geladeira é de 1 000 reais para pagamento somente em dinheiro. Seu preço normal, fora da promoção, é 10 por cento maior. Para pagamento feito com o cartão de crédito da loja, é dado um desconto de 2 por cento sobre o preço normal. Uma cliente decidiu comprar essa geladeira, optando pelo pagamento com o cartão de crédito da loja. Ela calculou que o valor a ser pago seria o preço promocional acrescido de 8 por cento. Ao ser informada pela loja do valor a pagar, segundo sua opção, percebeu uma diferença entre seu cálculo e o valor que lhe foi apresentado. O valor apresentado pela loja, comparado ao valor calculado pela cliente, foi",A 2 reais menor.,B 100 reais menor.,C 200 reais menor.,D 42 reais maior.,E 80 reais maior.,A,"{'A': 0.5741159734261375, 'D': 0.39458375331842704, 'B': 0.025224892894072717, 'E': 0.004967075916618233, 'C': 0.0011083044447444356}"
QUESTÃO 154,"As empresas de capital aberto listadas na Bolsa de Valores de São Paulo (Bovespa) que melhor remuneram seus acionistas na distribuição dos lucros costumam pagar 25 por cento de seus lucros líquidos trimestrais como dividendos aos acionistas. Uma empresa de capital social listada na Bolsa de Valores de São Paulo (Bovespa) divulgou resumidamente no quadro abaixo o seguinte resultado: Descrição da imagem: Quadro apresenta os seguintes dados: Receitas líquidas: 422 milhões de reais; Lucro bruto: 76 milhões de reais; Lucro líquido: 28 milhões de reais; Lucro líquido por ação: 0,28 real.  Quanto receberá de dividendos um acionista que tem 1 400 ações desta empresa?",A 98 reais,B 392 reais,C 20 mil reais,D 7 mihões de reais,E 9 bilhões e 800 milhões de reais,B,"{'B': 0.9997386502508171, 'A': 0.000261190396290072, 'D': 9.928603314725731e-08, 'C': 4.992415271791054e-08, 'E': 1.01427068275729e-08}"
QUESTÃO 155,"Uma empresa de engenharia projetou uma casa com a forma de um retângulo para um de seus clientes. Esse cliente solicitou a inclusão de uma varanda em forma de L. A figura apresenta a planta baixa desenhada pela empresa, já com a varanda incluída, cujas medidas, indicadas em centímetro, representam os valores das dimensões da varanda na escala de 1 para 50. Descrição da imagem: Figura representa uma planta baixa de uma casa na escala de 1 para 50. Essa planta tem o formato de um retângulo, disposto com a maior dimensão na horizontal e a menor, na vertical. Na parte externa do retângulo que representa a casa, há uma região hexagonal em formato de L, representando a varanda, na qual quaisquer dois de seus lados adjacentes são perpendiculares, com quatro de seus lados medindo, consecutivamente, 4 centímetros, 18,4 centímetros, 16 centímetros e 5 centímetros. Os dois lados cujas medidas não estão fornecidas estão justapostos ao contorno da planta, na sua lateral esquerda e em parte do seu lado superior. O lado de medida 18,4 centímetros é paralelo à lateral esquerda da planta, enquanto o lado de medida 16 centímetros é paralelo ao lado superior da planta. O lado de 5 centímetros é perpendicular ao lado de 16 centímetros, e o lado de 4 centímetros é perpendicular ao lado de 18,4 centímetros. A medida real da área da varanda, em metro quadrado, é","A 33,40.","B 66,80.","C 89,24.","D 133,60.","E 534,40.",A,"{'A': 0.5770964437384757, 'B': 0.3392575113109065, 'D': 0.07569858283036032, 'C': 0.006022542060649529, 'E': 0.0019249200596079383}"
QUESTÃO 156,"Uma loja de roupas fixou uma meta de vendas de 77 000 reais para um determinado mês de 30 dias. O gráfico mostra o volume de vendas dessa loja, em real, nos dez primeiros dias do mês e entre o dia dez e o dia vinte desse mês, nos seus dois únicos setores (infantil e adulto). Suponha que a variação no volume de vendas, para o período registrado, tenha se dado de forma linear, como mostrado no gráfico, e que essa tendência se mantenha a mesma para os próximos dez dias. Descrição da imagem: Gráfico em que o eixo horizontal de referência corresponde a dias, de 10 a 30, em intervalos de 10 em 10, apresentando dois segmentos de reta descendentes, um referente ao volume de vendas do setor adulto, com extremidades nos pontos (10, 18 000) e (20, 15 000), e o outro ao do setor infantil, com extremidades nos pontos (10, 8 000) e (20, 7 000). Ao final do trigésimo dia, quanto faltará no volume de vendas, em real, para que a meta fixada para o mês seja alcançada?",A 5 000,B 7 000,C 11 000,D 18 000,E 29 000,D,"{'D': 0.35667169140305954, 'C': 0.3247532706334278, 'B': 0.20967647063711106, 'A': 0.07246225653138841, 'E': 0.03643631079501316}"
QUESTÃO 157,"O funcionário de uma loja tem seu salário mensal formado por uma parcela fixa de 675 reais mais uma comissão que depende da quantidade de peças vendidas por ele no mês. O cálculo do valor dessa comissão é feito de acordo com estes critérios: • até a quinquagésima peça vendida, paga-se 5 reais por peça; • a partir da quinquagésima primeira peça vendida, o valor pago é de 7 reais por peça. Represente por q a quantidade de peças vendidas no mês por esse funcionário, e por S de q o seu salário mensal, em real, nesse mês. A expressão algébrica que descreve S de q em função de q é","A S de q é igual a 675 mais, abre parêntese, 12 vezes q, fecha parêntese","B S de q é igual a 325 mais, abre parêntese, 12 vezes q, fecha parêntese","C S de q é igual a 675 mais, abre parêntese, 7 vezes q, fecha parêntese","D S de q é igual a 625 mais, abre parêntese, 5 vezes q, fecha parêntese , se q é menor ou igual a 50, ou é igual a 925 mais, abre parêntese, 7 vezes q, fecha parêntese , se q é maior que 50","E S de q é igual a 625 mais, abre parêntese, 5 vezes q , fecha parêntese, se q é menor ou igual a 50, ou é igual a 575 mais, abre parêntese, 7 vezes q , fecha parêntese , se q é maior que 50",D,"{'D': 0.9984401290086484, 'E': 0.0011509284310719401, 'A': 0.00016580706062832484, 'B': 0.00015576131866095431, 'C': 8.737418099021768e-05}"
QUESTÃO 158,"Ao analisar os dados de uma epidemia em uma cidade, peritos obtiveram um modelo que avalia a quantidade de pessoas infectadas a cada mês, ao longo de um ano. O modelo é dado por p de t é igual a menos t ao quadrado mais 10 vezes t mais 24, sendo t um número natural, variando de 1 a 12, que representa os meses do ano, e p de t a quantidade de pessoas infectadas no mês t do ano. Para tentar diminuir o número de infectados no próximo ano, a Secretaria Municipal de Saúde decidiu intensificar a propaganda oficial sobre os cuidados com a epidemia. Foram apresentadas cinco propostas (1, 2, 3, 4 e 5), com diferentes períodos de intensificação das propagandas: • 1: 1 menor ou igual a t menor ou igual a 2; • 2: 3 menor ou igual a t menor ou igual a 4; • 3: 5 menor ou igual a t menor ou igual a 6; • 4: 7 menor ou igual a t menor ou igual a 9; • 5: 10 menor ou igual a t menor ou igual a 12. A sugestão dos peritos é que seja escolhida a proposta cujo período de intensificação da propaganda englobe o mês em que, segundo o modelo, há a maior quantidade de infectados. A sugestão foi aceita. A proposta escolhida foi a",A 1.,B 2.,C 3.,D 4.,E 5.,D,"{'D': 0.9604372282512564, 'B': 0.025594787740605845, 'E': 0.010669494910791683, 'A': 0.0028716555980241917, 'C': 0.00042683349932181284}"
QUESTÃO 159,"Um atleta iniciou seu treinamento visando as competições de fim de ano. Seu treinamento consiste em cinco tipos diferentes de treinos: treino T1, treino T2, treino T3, treino T4 e treino T5. A sequência dos treinamentos deve seguir esta ordem: Dia Treino Primeiro T1 Segundo R Terceiro R Quarto T2 Quinto R Sexto R Sétimo T3 Oitavo R Nono T4 Décimo R Décimo primeiro R Décimo segundo T5 Décimo terceiro R A letra R significa repouso. Após completar a sequência de treinamentos, o atleta começa novamente a sequência a partir do treino T1 e segue a ordem descrita. Após 24 semanas completas de treinamento, se dará o início das competições. A sequência de treinamentos que o atleta realizará na vigésima quarta semana de treinos é",A T3 R T4 R R T5 R.,B R T3 R T4 R R T5.,C R T4 R R T5 R T1.,D R R T5 R T1 R R.,E R T5 R T1 R R T2.,D,"{'D': 0.6085112345498309, 'E': 0.2785967274739402, 'B': 0.04841285680682101, 'A': 0.04013566798715281, 'C': 0.024343513182255017}"
QUESTÃO 160,"No ano de 2015 o Brasil enfrentou uma grave crise hídrica. O diretor da empresa de abastecimento de água e saneamento do estado de São Paulo afirmou, no dia 27 de janeiro de 2015, que não estava descartado um possível racionamento em toda a capital. Segundo o diretor, para ampliar a economia de água praticada durante esse período, em uma semana seria necessário escolher dois dias não consecutivos para fornecimento de água e nos demais cinco dias seria interrompido o fornecimento. De quantas maneiras diferentes podem ser escolhidos os dias para fornecimento e para interrupção de água nessa semana?",A 6,B 12,C 15,D 21,E 42,D,"{'D': 0.9851832456881987, 'C': 0.00852350300446887, 'E': 0.0023668913017355015, 'A': 0.002024509415184044, 'B': 0.0019018505904127615}"
QUESTÃO 161,"Uma empresa produz e vende um tipo de chocolate, maciço, em formato de cone circular reto com as medidas do diâmetro da base e da altura iguais a 8 centímetros e 10 centímetros, respectivamente. Devido a um aumento de preço dos ingredientes utilizados na produção desse chocolate, a empresa decide produzir esse mesmo tipo de chocolate com um volume 19 por cento menor, no mesmo formato de cone circular reto com altura de 10 centímetros. Para isso, a empresa produzirá esses novos chocolates com medida do raio da base, em centímetro, igual a","A 1,52.","B 3,24.","C 3,60.","D 6,48.","E 7,20.",B,"{'B': 0.994611191943681, 'A': 0.0027936579702109074, 'C': 0.002543654528028946, 'D': 4.806754054223347e-05, 'E': 3.4280175369120848e-06}"
QUESTÃO 162,"Em janeiro de 2013, foram declaradas 1 794 272 admissões e 1 765 372 desligamentos no Brasil, ou seja, foram criadas 28 900 vagas de emprego, segundo dados do Cadastro Geral de Empregados e Desempregados (Caged), divulgados pelo Ministério do Trabalho e Emprego (MTE). Segundo o Caged, o número de vagas criadas em janeiro de 2013 sofreu uma queda de 75 por cento, quando comparado com o mesmo período de 2012. De acordo com as informações dadas, o número de vagas criadas em janeiro de 2012 foi",A 16 514.,B 86 700.,C 115 600.,D 441 343.,E 448 568.,E,"{'E': 0.8667239746657608, 'D': 0.13291643570272257, 'B': 0.00018772452707736622, 'C': 0.00017092512698910873, 'A': 9.399774501121802e-07}"
QUESTÃO 163,"Um prédio, com 9 andares e 8 apartamentos de 2 quartos por andar, está com todos os seus apartamentos à venda. Os apartamentos são identificados por números formados por dois algarismos, sendo que a dezena indica o andar onde se encontra o apartamento, e a unidade, um algarismo de 1 a 8, que diferencia os apartamentos de um mesmo andar. Quanto à incidência de sol nos quartos desses apartamentos, constatam-se as seguintes características, em função de seus números de identificação: • naqueles que finalizam em 1 ou 2, ambos os quartos recebem sol apenas na parte da manhã; • naqueles que finalizam em 3, 4, 5 ou 6, apenas um dos quartos recebe sol na parte da manhã; • naqueles que finalizam em 7 ou 8, ambos os quartos recebem sol apenas na parte da tarde. Uma pessoa pretende comprar 2 desses apartamentos em um mesmo andar, mas quer que, em ambos, pelo menos um dos quartos receba sol na parte da manhã. De quantas maneiras diferentes essa pessoa poderá escolher 2 desses apartamentos para compra nas condições desejadas?","A 9 vezes 6 fatorial dividido por, abre parêntese, 6 menos 2, fecha parêntese, fatorial. ","B 9 vezes 6 fatorial dividido por, abre parêntese, abre parêntese, 6 menos 2, fecha parêntese, fatorial vezes 2 fatorial, fecha parêntese.","C 9 vezes 4 fatorial dividido por, abre parêntese, abre parêntese, 4 menos 2, fecha parêntese, fatorial vezes 2 fatorial, fecha parêntese. ","D 9 vezes 2 fatorial dividido por, abre parêntese, abre parêntese, 2 menos 2, fecha parêntese, fatorial vezes 2 fatorial, fecha parêntese.","E 9 vezes abre parêntese, abre parêntese, 8 fatorial dividido por, abre parêntese, abre parêntese, 8 menos 2, fecha parêntese, fatorial vezes 2 fatorial, fecha parêntese, fecha parêntese, menos 1, fecha parêntese.",B,"{'B': 0.8887763834424388, 'A': 0.10614918631440666, 'C': 0.003989219200634015, 'D': 0.0008493537801296236, 'E': 0.00023585726239083182}"
QUESTÃO 164,"Um médico faz o acompanhamento clínico de um grupo de pessoas que realizam atividades físicas diariamente. Ele observou que a perda média de massa dessas pessoas para cada hora de atividade física era de 1,5 quilograma . Sabendo que a massa de 1 litro de água é de 1 quilograma , ele recomendou que ingerissem, ao longo das 3 horas seguintes ao final da atividade, uma quantidade total de água correspondente a 40 por cento a mais do que a massa perdida na atividade física, para evitar desidratação. Seguindo a recomendação médica, uma dessas pessoas ingeriu, certo dia, um total de 1,7 litro de água após terminar seus exercícios físicos. Para que a recomendação médica tenha efetivamente sido respeitada, a atividade física dessa pessoa, nesse dia, durou",A 30 minutos ou menos.,B mais de 35 e menos de 45 minutos.,C mais de 45 e menos de 55 minutos.,D mais de 60 e menos de 70 minutos.,E 70 minutos ou mais.,D,"{'D': 0.6691528934967227, 'E': 0.29693481136888217, 'C': 0.01958496978532157, 'B': 0.013887823157621172, 'A': 0.0004395021914524986}"
