QUESTÃO 148,"No período de 2005 a 2013, o valor de venda dos imóveis em uma cidade apresentou alta, o que resultou no aumento dos aluguéis. Os gráficos apresentam a evolução desses valores, para um mesmo imóvel, no mercado imobiliário dessa cidade. Descrição da imagem: Dois gráficos de coluna. O primeiro gráfico, que apresenta os anos no eixo horizontal e o valor mensal do aluguel em real no eixo vertical, mostra os seguintes dados: 2005: 630; 2007: 960; 2009: 1 350; 2011: 1 800; 2013: 3 240. O segundo gráfico, que apresenta os anos no eixo horizontal e o valor de mercado do imóvel, em milhar de reais no eixo vertical, mostra os seguintes dados: 2005: 90; 2007: 120; 2009: 270; 2011: 450; 2013: 540. Valor mensal do aluguel (R$) Valor de mercado do imóvel (milhar de R$) A rentabilidade do aluguel de um imóvel é calculada pela razão entre o valor mensal de aluguel e o valor de mercado desse imóvel. Com base nos dados fornecidos, em que ano a rentabilidade do aluguel foi maior?",A 2005,B 2007,C 2009,D 2011,E 2013
QUESTÃO 149,"Em uma universidade, atuam professores que estão enquadrados funcionalmente pela sua maior titulação: mestre ou doutor. Nela há, atualmente, 60 mestres e 40 doutores. Os salários mensais dos professores mestres e dos doutores são, respectivamente, 8 000 reais e 12 000 reais . A diretoria da instituição pretende proporcionar um aumento salarial diferenciado para o ano seguinte, de tal forma que o salário médio mensal dos professores dessa instituição não ultrapasse 12 240 reais. A universidade já estabeleceu que o aumento salarial será de 25 por cento para os mestres e precisa ainda definir o percentual de reajuste para os doutores. Mantido o número atual de professores com suas atuais titulações, o aumento salarial, em porcentagem, a ser concedido aos doutores deverá ser de, no máximo,","A 14,4.","B 20,7.","C 22,0.","D 30,0.","E 37,5."
QUESTÃO 150,"Um borrifador de atuação automática libera, a cada acionamento, uma mesma quantidade de inseticida. O recipiente desse produto, quando cheio, contém 360 mililitros de inseticida, que duram 60 dias se o borrifador permanecer ligado ininterruptamente e for acionado a cada 48 minutos. A quantidade de inseticida que é liberada a cada acionamento do borrifador, em mililitro, é","A 0,125.","B 0,200.","C 4,800.","D 6,000.","E 12,000."
QUESTÃO 151,"Definem-se o dia e o ano de um planeta de um sistema solar como sendo, respectivamente, o tempo que o planeta leva para dar 1 volta completa em torno de seu próprio eixo de rotação e o tempo para dar 1 volta completa em torno de seu Sol. Suponha que exista um planeta Z, em algum sistema solar, onde um dia corresponda a 73 dias terrestres e que 2 de seus anos correspondam a 1 ano terrestre. Considere que 1 ano terrestre tem 365 de seus dias. No planeta Z, seu ano corresponderia a quantos de seus dias?","A 2,5","B 10,0","C 730,0","D 13 322,5","E 53 290,0"
QUESTÃO 152,"Quarenta mudas de flores devem ser plantadas no contorno de um canteiro circular de 2,2 metros de diâmetro, com um espaçamento padrão de 12 centímetros entre mudas. Fazendo-se os cálculos, chegou-se à conclusão de que não havia mudas suficientes e optou-se, então, por alterar o espaçamento padrão. Use 3 como aproximação para pi. Em quantos centímetros deve ser aumentado o espaçamento padrão entre as mudas?","A 4,50","B 6,15","C 9,07","D 21,00","E 24,30"
QUESTÃO 153,"Em uma loja, o preço promocional de uma geladeira é de 1 000 reais para pagamento somente em dinheiro. Seu preço normal, fora da promoção, é 10 por cento maior. Para pagamento feito com o cartão de crédito da loja, é dado um desconto de 2 por cento sobre o preço normal. Uma cliente decidiu comprar essa geladeira, optando pelo pagamento com o cartão de crédito da loja. Ela calculou que o valor a ser pago seria o preço promocional acrescido de 8 por cento. Ao ser informada pela loja do valor a pagar, segundo sua opção, percebeu uma diferença entre seu cálculo e o valor que lhe foi apresentado. O valor apresentado pela loja, comparado ao valor calculado pela cliente, foi",A 2 reais menor.,B 100 reais menor.,C 200 reais menor.,D 42 reais maior.,E 80 reais maior.
QUESTÃO 154,"As empresas de capital aberto listadas na Bolsa de Valores de São Paulo (Bovespa) que melhor remuneram seus acionistas na distribuição dos lucros costumam pagar 25 por cento de seus lucros líquidos trimestrais como dividendos aos acionistas. Uma empresa de capital social listada na Bolsa de Valores de São Paulo (Bovespa) divulgou resumidamente no quadro abaixo o seguinte resultado: Descrição da imagem: Quadro apresenta os seguintes dados: Receitas líquidas: 422 milhões de reais; Lucro bruto: 76 milhões de reais; Lucro líquido: 28 milhões de reais; Lucro líquido por ação: 0,28 real.  Quanto receberá de dividendos um acionista que tem 1 400 ações desta empresa?",A 98 reais,B 392 reais,C 20 mil reais,D 7 mihões de reais,E 9 bilhões e 800 milhões de reais
QUESTÃO 155,"Uma empresa de engenharia projetou uma casa com a forma de um retângulo para um de seus clientes. Esse cliente solicitou a inclusão de uma varanda em forma de L. A figura apresenta a planta baixa desenhada pela empresa, já com a varanda incluída, cujas medidas, indicadas em centímetro, representam os valores das dimensões da varanda na escala de 1 para 50. Descrição da imagem: Figura representa uma planta baixa de uma casa na escala de 1 para 50. Essa planta tem o formato de um retângulo, disposto com a maior dimensão na horizontal e a menor, na vertical. Na parte externa do retângulo que representa a casa, há uma região hexagonal em formato de L, representando a varanda, na qual quaisquer dois de seus lados adjacentes são perpendiculares, com quatro de seus lados medindo, consecutivamente, 4 centímetros, 18,4 centímetros, 16 centímetros e 5 centímetros. Os dois lados cujas medidas não estão fornecidas estão justapostos ao contorno da planta, na sua lateral esquerda e em parte do seu lado superior. O lado de medida 18,4 centímetros é paralelo à lateral esquerda da planta, enquanto o lado de medida 16 centímetros é paralelo ao lado superior da planta. O lado de 5 centímetros é perpendicular ao lado de 16 centímetros, e o lado de 4 centímetros é perpendicular ao lado de 18,4 centímetros. A medida real da área da varanda, em metro quadrado, é","A 33,40.","B 66,80.","C 89,24.","D 133,60.","E 534,40."
QUESTÃO 156,"Uma loja de roupas fixou uma meta de vendas de 77 000 reais para um determinado mês de 30 dias. O gráfico mostra o volume de vendas dessa loja, em real, nos dez primeiros dias do mês e entre o dia dez e o dia vinte desse mês, nos seus dois únicos setores (infantil e adulto). Suponha que a variação no volume de vendas, para o período registrado, tenha se dado de forma linear, como mostrado no gráfico, e que essa tendência se mantenha a mesma para os próximos dez dias. Descrição da imagem: Gráfico em que o eixo horizontal de referência corresponde a dias, de 10 a 30, em intervalos de 10 em 10, apresentando dois segmentos de reta descendentes, um referente ao volume de vendas do setor adulto, com extremidades nos pontos (10, 18 000) e (20, 15 000), e o outro ao do setor infantil, com extremidades nos pontos (10, 8 000) e (20, 7 000). Ao final do trigésimo dia, quanto faltará no volume de vendas, em real, para que a meta fixada para o mês seja alcançada?",A 5 000,B 7 000,C 11 000,D 18 000,E 29 000
QUESTÃO 157,"O funcionário de uma loja tem seu salário mensal formado por uma parcela fixa de 675 reais mais uma comissão que depende da quantidade de peças vendidas por ele no mês. O cálculo do valor dessa comissão é feito de acordo com estes critérios: • até a quinquagésima peça vendida, paga-se 5 reais por peça; • a partir da quinquagésima primeira peça vendida, o valor pago é de 7 reais por peça. Represente por q a quantidade de peças vendidas no mês por esse funcionário, e por S de q o seu salário mensal, em real, nesse mês. A expressão algébrica que descreve S de q em função de q é","A S de q é igual a 675 mais, abre parêntese, 12 vezes q, fecha parêntese","B S de q é igual a 325 mais, abre parêntese, 12 vezes q, fecha parêntese","C S de q é igual a 675 mais, abre parêntese, 7 vezes q, fecha parêntese","D S de q é igual a 625 mais, abre parêntese, 5 vezes q, fecha parêntese , se q é menor ou igual a 50, ou é igual a 925 mais, abre parêntese, 7 vezes q, fecha parêntese , se q é maior que 50","E S de q é igual a 625 mais, abre parêntese, 5 vezes q , fecha parêntese, se q é menor ou igual a 50, ou é igual a 575 mais, abre parêntese, 7 vezes q , fecha parêntese , se q é maior que 50"
QUESTÃO 158,"Ao analisar os dados de uma epidemia em uma cidade, peritos obtiveram um modelo que avalia a quantidade de pessoas infectadas a cada mês, ao longo de um ano. O modelo é dado por p de t é igual a menos t ao quadrado mais 10 vezes t mais 24, sendo t um número natural, variando de 1 a 12, que representa os meses do ano, e p de t a quantidade de pessoas infectadas no mês t do ano. Para tentar diminuir o número de infectados no próximo ano, a Secretaria Municipal de Saúde decidiu intensificar a propaganda oficial sobre os cuidados com a epidemia. Foram apresentadas cinco propostas (1, 2, 3, 4 e 5), com diferentes períodos de intensificação das propagandas: • 1: 1 menor ou igual a t menor ou igual a 2; • 2: 3 menor ou igual a t menor ou igual a 4; • 3: 5 menor ou igual a t menor ou igual a 6; • 4: 7 menor ou igual a t menor ou igual a 9; • 5: 10 menor ou igual a t menor ou igual a 12. A sugestão dos peritos é que seja escolhida a proposta cujo período de intensificação da propaganda englobe o mês em que, segundo o modelo, há a maior quantidade de infectados. A sugestão foi aceita. A proposta escolhida foi a",A 1.,B 2.,C 3.,D 4.,E 5.
QUESTÃO 159,"Um atleta iniciou seu treinamento visando as competições de fim de ano. Seu treinamento consiste em cinco tipos diferentes de treinos: treino T1, treino T2, treino T3, treino T4 e treino T5. A sequência dos treinamentos deve seguir esta ordem: Dia Treino Primeiro T1 Segundo R Terceiro R Quarto T2 Quinto R Sexto R Sétimo T3 Oitavo R Nono T4 Décimo R Décimo primeiro R Décimo segundo T5 Décimo terceiro R A letra R significa repouso. Após completar a sequência de treinamentos, o atleta começa novamente a sequência a partir do treino T1 e segue a ordem descrita. Após 24 semanas completas de treinamento, se dará o início das competições. A sequência de treinamentos que o atleta realizará na vigésima quarta semana de treinos é",A T3 R T4 R R T5 R.,B R T3 R T4 R R T5.,C R T4 R R T5 R T1.,D R R T5 R T1 R R.,E R T5 R T1 R R T2.
QUESTÃO 160,"No ano de 2015 o Brasil enfrentou uma grave crise hídrica. O diretor da empresa de abastecimento de água e saneamento do estado de São Paulo afirmou, no dia 27 de janeiro de 2015, que não estava descartado um possível racionamento em toda a capital. Segundo o diretor, para ampliar a economia de água praticada durante esse período, em uma semana seria necessário escolher dois dias não consecutivos para fornecimento de água e nos demais cinco dias seria interrompido o fornecimento. De quantas maneiras diferentes podem ser escolhidos os dias para fornecimento e para interrupção de água nessa semana?",A 6,B 12,C 15,D 21,E 42
QUESTÃO 161,"Uma empresa produz e vende um tipo de chocolate, maciço, em formato de cone circular reto com as medidas do diâmetro da base e da altura iguais a 8 centímetros e 10 centímetros, respectivamente. Devido a um aumento de preço dos ingredientes utilizados na produção desse chocolate, a empresa decide produzir esse mesmo tipo de chocolate com um volume 19 por cento menor, no mesmo formato de cone circular reto com altura de 10 centímetros. Para isso, a empresa produzirá esses novos chocolates com medida do raio da base, em centímetro, igual a","A 1,52.","B 3,24.","C 3,60.","D 6,48.","E 7,20."
QUESTÃO 162,"Em janeiro de 2013, foram declaradas 1 794 272 admissões e 1 765 372 desligamentos no Brasil, ou seja, foram criadas 28 900 vagas de emprego, segundo dados do Cadastro Geral de Empregados e Desempregados (Caged), divulgados pelo Ministério do Trabalho e Emprego (MTE). Segundo o Caged, o número de vagas criadas em janeiro de 2013 sofreu uma queda de 75 por cento, quando comparado com o mesmo período de 2012. De acordo com as informações dadas, o número de vagas criadas em janeiro de 2012 foi",A 16 514.,B 86 700.,C 115 600.,D 441 343.,E 448 568.
QUESTÃO 163,"Um prédio, com 9 andares e 8 apartamentos de 2 quartos por andar, está com todos os seus apartamentos à venda. Os apartamentos são identificados por números formados por dois algarismos, sendo que a dezena indica o andar onde se encontra o apartamento, e a unidade, um algarismo de 1 a 8, que diferencia os apartamentos de um mesmo andar. Quanto à incidência de sol nos quartos desses apartamentos, constatam-se as seguintes características, em função de seus números de identificação: • naqueles que finalizam em 1 ou 2, ambos os quartos recebem sol apenas na parte da manhã; • naqueles que finalizam em 3, 4, 5 ou 6, apenas um dos quartos recebe sol na parte da manhã; • naqueles que finalizam em 7 ou 8, ambos os quartos recebem sol apenas na parte da tarde. Uma pessoa pretende comprar 2 desses apartamentos em um mesmo andar, mas quer que, em ambos, pelo menos um dos quartos receba sol na parte da manhã. De quantas maneiras diferentes essa pessoa poderá escolher 2 desses apartamentos para compra nas condições desejadas?",A,B,C,D,"E 9 vezes 6 fatorial dividido por, abre parêntese, 6 menos 2, fecha parêntese, fatorial. 9 vezes 6 fatorial dividido por, abre parêntese, abre parêntese, 6 menos 2, fecha parêntese, fatorial vezes 2 fatorial, fecha parêntese. 9 vezes 4 fatorial dividido por, abre parêntese, abre parêntese, 4 menos 2, fecha parêntese, fatorial vezes 2 fatorial, fecha parêntese. 9 vezes 2 fatorial dividido por, abre parêntese, abre parêntese, 2 menos 2, fecha parêntese, fatorial vezes 2 fatorial, fecha parêntese. 9 vezes abre parêntese, abre parêntese, 8 fatorial dividido por, abre parêntese, abre parêntese, 8 menos 2, fecha parêntese, fatorial vezes 2 fatorial, fecha parêntese, fecha parêntese, menos 1, fecha parêntese."
QUESTÃO 164,"Um médico faz o acompanhamento clínico de um grupo de pessoas que realizam atividades físicas diariamente. Ele observou que a perda média de massa dessas pessoas para cada hora de atividade física era de 1,5 quilograma . Sabendo que a massa de 1 litro de água é de 1 quilograma , ele recomendou que ingerissem, ao longo das 3 horas seguintes ao final da atividade, uma quantidade total de água correspondente a 40 por cento a mais do que a massa perdida na atividade física, para evitar desidratação. Seguindo a recomendação médica, uma dessas pessoas ingeriu, certo dia, um total de 1,7 litro de água após terminar seus exercícios físicos. Para que a recomendação médica tenha efetivamente sido respeitada, a atividade física dessa pessoa, nesse dia, durou",A 30 minutos ou menos.,B mais de 35 e menos de 45 minutos.,C mais de 45 e menos de 55 minutos.,D mais de 60 e menos de 70 minutos.,E 70 minutos ou mais.
QUESTÃO 165,"Em uma sala de cinema, para garantir que os espectadores vejam toda a imagem projetada na tela, a disposição das poltronas deve obedecer à norma técnica da Associação Brasileira de Normas Técnicas (ABNT), que faz as seguintes indicações: • Distância mínima ( D mínimo ) entre a tela de projeção e o encosto da poltrona da primeira fileira deve ser de, pelo menos, 60 por cento da largura ( L ) da tela. • Distância máxima ( D máximo ) entre a tela de projeção e o encosto da poltrona da última fileira deve ser o dobro da largura ( L ) da tela, sendo aceitável uma distância de até 2,9 vezes a largura ( L ) da tela. Para o espaçamento entre as fileiras de poltronas, é considerada a distância de 1 metro entre os encostos de poltronas em duas fileiras consecutivas. Uma sala de cinema, cuja largura da tela mede 12 metros, está montada em conformidade com as normas da ABNT e tem suas dimensões especificadas na figura. Descrição da imagem: Figura distribuída em dois esquemas em que, o esquema à esquerda apresenta um trapézio isósceles. A figura à esquerda apresenta um trapézio isósceles cuja base menor mede L e cuja altura mede Daceitável igual a 2,9 vezes L . Esse trapézio é seccionado por dois segmentos de reta paralelos às bases, o primeiro a uma distância da tela de D mínimo igual a 0,6 vezes L , representando o alinhamento dos encostos das poltronas já instaladas da primeira fileira, e o segundo, a uma distância da tela D máximo igual a 2 vezes L , indicando o alinhamento dos encostos das poltronas da última fileira já instalada. Há uma região destacada, compreendida entre o segundo segmento e a base maior do trapézio, denominada Área de instalação de novas poltronas . A figura à direita apresenta parte de 3 fileiras de poltronas, indicando a distância de 1 metro entre os encostos das poltronas de fileiras consecutivas. máx mín Laceitável 1 m 1 m Pretende-se ampliar essa sala, mantendo-se na mesma posição a tela e todas as poltronas já instaladas, ampliando-se ao máximo a sala para os fundos (área de instalação de novas poltronas), respeitando-se o limite aceitável da norma da ABNT. A intenção é aumentar, ao máximo, a quantidade de poltronas da sala, instalando-se novas unidades, iguais às já instaladas. Quantas fileiras de poltronas a sala comportará após essa ampliação?",A 26,B 27,C 28,D 29,E 35
QUESTÃO 166,"A luminosidade L de uma estrela está relacionada com o raio R e com a temperatura T dessa estrela segundo a Lei de Stefan-Boltzmann: L é igual a c vezes R ao quadrado vezes T elevado a 4, em que c é uma constante igual para todas as estrelas. Considere duas estrelas E e F , sendo que a estrela E tem metade do raio da estrela F e o dobro da temperatura de F . Indique por LE e LF suas respectivas luminosidades. A relação entre as luminosidades dessas duas estrelas é dada por",A LE é igual a LF dividido por 2,B LE é igual a LF dividido por 4,C LE é igual a LF,D LE é igual a 4 vezes LF,E LE é igual a 8 vezes LF
QUESTÃO 167,"Uma das informações que pode auxiliar no dimensionamento do número de pediatras que devem atender em uma Unidade Básica de Saúde (UBS) é o número que representa a mediana da quantidade de crianças por família existente na região sob sua responsabilidade. O quadro mostra a distribuição das frequências do número de crianças por família na região de responsabilidade de uma UBS. Descrição da imagem: Quadro que relaciona número de crianças por família à frequência, mostra os seguintes dados: nenhuma criança: 100; 1 criança: 400; 2 crianças: 200; 3 crianças: 150; 4 crianças: 100; 5 crianças: 50.   O número que representa a mediana da quantidade de criança s por família nessa região é","A 1,0.","B 1,5.","C 1,9.","D 2,1.","E 2,5."
QUESTÃO 168,"Em jogos de voleibol, um saque é invalidado se a bola atingir o teto do ginásio onde ocorre o jogo. Um jogador de uma equipe tem um saque que atinge uma grande altura. Seu recorde foi quando a batida do saque se iniciou a uma altura de 1,5 metro do piso da quadra, e a trajetória da bola foi descrita pela parábola y é igual a menos, abre parêntese, x ao quadrado dividido por 6, fecha parêntese, menos, abre parêntese, 7 vezes x dividido por 3, fecha parêntese, mais 12, em que y representa a altura da bola em relação ao eixo x (das abscissas) que está localizado a 1,5 metro do piso da quadra, como representado na figura. Suponha que em todas as partidas algum saque desse jogador atinja a mesma altura do seu recorde. Descrição da imagem: Figura representa uma quadra de voleibol no formato de um retângulo, com a figura de um jogador que irá realizar um saque cuja trajetória da bola descreverá uma parábola a partir do instante em que é atingida pelo jogador até cair na quadra da equipe adversária. A parábola está referenciada em um sistema de eixos cartesianos, cujo eixo x está localizado a 1,5 metro acima do piso da quadra e é paralelo às suas laterais, e o eixo y está situado no mesmo plano da rede. A equipe desse jogador participou de um torneio de voleibol no qual jogou cinco partidas, cada uma delas em um ginásio diferente. As alturas dos tetos desses ginásios, em relação aos pisos das quadras, são: • ginásio 1: 17 metros ; • ginásio 2: 18 metros ; • ginásio 3: 19 metros ; • ginásio 4: 21 metros ; • ginásio 5: 40 metros . O saque desse atleta foi invalidado",A apenas no ginásio 1.,B apenas nos ginásios 1 e 2.,"C apenas nos ginásios 1, 2 e 3.","D apenas nos ginásios 1, 2, 3 e 4.",E em todos os ginásios.
QUESTÃO 169,"O pacote básico de um jogo para smartphone, que é vendido a 50 reais, contém 2 000 gemas e 100 000 moedas de ouro, que são itens utilizáveis nesse jogo. A empresa que comercializa esse jogo decidiu criar um pacote especial que será vendido a 100 reais e que se diferenciará do pacote básico por apresentar maiores quantidades de gemas e moedas de ouro. Para estimular as vendas desse novo pacote, a empresa decidiu inserir nele 6 000 gemas a mais, em relação ao que o cliente teria caso optasse por comprar, com a mesma quantia, dois pacotes básicos. A quantidade de moedas de ouro que a empresa deverá inserir ao pacote especial, para que seja mantida a mesma proporção existente entre as quantidades de gemas e de moedas de ouro contidas no pacote básico, é",A 50 000.,B 100 000.,C 200 000.,D 300 000.,E 400 000.
QUESTÃO 170,"Um parque tem dois circuitos de tamanhos diferentes para corridas. Um corredor treina nesse parque e, no primeiro dia, inicia seu treino percorrendo 3 voltas em torno do circuito maior e 2 voltas em torno do menor, perfazendo um total de 1 800 metros. Em seguida, dando continuidade a seu treino, corre mais 2 voltas em torno do circuito maior e 1 volta em torno do menor, percorrendo mais 1 100 metros. No segundo dia, ele pretende percorrer 5 000 metros nos circuitos do parque, fazendo um número inteiro de voltas em torno deles e de modo que o número de voltas seja o maior possível. A soma do número de voltas em torno dos dois circuitos, no segundo dia, será",A 10.,B 13.,C 14.,D 15.,E 16.
QUESTÃO 171,"Uma equipe de marketing digital foi contratada para aumentar as vendas de um produto ofertado em um site de comércio eletrônico. Para isso, elaborou um anúncio que, quando o cliente clica sobre ele, é direcionado para a página de vendas do produto. Esse anúncio foi divulgado em duas redes sociais, A e B, e foram obtidos os seguintes resultados: • rede social A: o anúncio foi visualizado por 3 000 pessoas; 10 por cento delas clicaram sobre o anúncio e foram redirecionadas para o site; 3 por cento das que clicaram sobre o anúncio compraram o produto. O investimento feito para a publicação do anúncio nessa rede foi de 100 reais ; • rede social B: o anúncio foi visualizado por 1 000 pessoas; 30 por cento delas clicaram sobre o anúncio e foram redirecionadas para o site; 2 por cento das que clicaram sobre o anúncio compraram o produto. O investimento feito para a publicação do anúncio nessa rede foi de 200 reais . Por experiência, o pessoal da equipe de marketing considera que a quantidade de novas pessoas que verão o anúncio é diretamente proporcional ao investimento realizado, e que a quantidade de pessoas que comprarão o produto também se manterá proporcional à quantidade de pessoas que clicarão sobre o anúncio. O responsável pelo produto decidiu, então, investir mais 300 reais em cada uma das duas redes sociais para a divulgação desse anúncio e obteve, de fato, o aumento proporcional esperado na quantidade de clientes que compraram esse produto. Para classificar o aumento obtido na quantidade ( Q ) de compradores desse produto, em consequência dessa segunda divulgação, em relação aos resultados observados na primeira divulgação, o responsável pelo produto adotou o seguinte critério: • Q menor ou igual a 60 por cento : não satisfatório; • 60 por cento menor que Q menor ou igual a 100 por cento : regular; • 100 por cento menor que Q menor ou igual a 150 por cento : bom; • 150 por cento menor que Q menor ou igual a 190 por cento : muito bom; • 190 por cento menor que Q menor ou igual a 200 por cento : excelente. O aumento na quantidade de compradores, em consequência dessa segunda divulgação, em relação ao que foi registrado com a primeira divulgação, foi classificado como",A não satisfatório.,B regular.,C bom.,D muito bom.,E excelente.
QUESTÃO 172,"Uma montadora de automóveis divulgou que oferta a seus clientes mais de 1 000 configurações diferentes de carro, variando o modelo, a motorização, os opcionais e a cor do veículo. Atualmente, ela oferece 7 modelos de carros com 2 tipos de motores: 1.0 e 1.6. Já em relação aos opcionais, existem 3 escolhas possíveis: central multimídia, rodas de liga leve e bancos de couro, podendo o cliente optar por incluir um, dois, três ou nenhum dos opcionais disponíveis. Para ser fiel à divulgação feita, a quantidade mínima de cores que a montadora deverá disponibilizar a seus clientes é",A 8.,B 9.,C 11.,D 18.,E 24.
QUESTÃO 173,"Um casal deseja recarregar seu cartão bancário pré-pago, para realizar uma viagem ao exterior. Eles recarregarão esse cartão com 3 000 dólares, em uma única transação. A unidade monetária do país onde reside o casal é o zed e a taxa cambial é de 2,20 zeds por dólar. É cobrado um imposto de 3 por cento sobre o valor pago, em zed , pela recarga, além de uma quantia fixa de 40 zeds pela transação bancária. Qual o valor mínimo, em zed , que esse casal deve possuir para recarregar o cartão?","A 6 640,00","B 6 690,00","C 6 730,00","D 6 838,00","E 6 886,00"
QUESTÃO 174,"Cada número que identifica uma agência bancária tem quatro dígitos: N1, N2, N3, N4 mais um dígito verificador N 5, sendo todos esses dígitos números naturais pertencentes ao conjunto formado por 0, 1, 2, 3, 4, 5, 6, 7, 8 e 9. Para a determinação de N 5 , primeiramente multiplica-se ordenadamente os quatro primeiros dígitos do número da agência por 5, 4, 3 e 2, respectivamente, somam-se os resultados e obtém-se S é igual a 5 vezes N1 mais 4 vezes N2 mais 3 vezes N3 mais 2 vezes N4. Posteriormente, encontra-se o resto da divisão de S por 11, denotando por R esse resto. Dessa forma, N5 é a diferença 11 menos R. Considere o número de uma agência bancária cujos quatro primeiros dígitos são 0100. Qual é o dígito verificador N 5 dessa agência bancária?",A 0,B 6,C 7,D 8,E 9
QUESTÃO 175,"Um casal está reformando a cozinha de casa e decidiu comprar um refrigerador novo. Observando a planta da nova cozinha, desenhada na escala de 1 para 50, notaram que o espaço destinado ao refrigerador tinha 3,8 centímetros de altura e 1,6 centímetro de largura. Eles sabem que os fabricantes de refrigeradores indicam que, para um bom funcionamento e fácil manejo na limpeza, esses eletrodomésticos devem ser colocados em espaços que permitam uma distância de, pelo menos, 10 centímetros de outros móveis ou paredes, tanto na parte superior quanto nas laterais. O casal comprou um refrigerador que caberia no local a ele destinado na nova cozinha, seguindo as instruções do fabricante. Esse refrigerador tem altura e largura máximas, em metro, respectivamente, iguais a","A 1,80 e 0,60.","B 1,80 e 0,70.","C 1,90 e 0,80.","D 2,00 e 0,90.","E 2,00 e 1,00."
QUESTÃO 176,"Foram convidadas 32 equipes para um torneio de futebol, que foram divididas em 8 grupos com 4 equipes, sendo que, dentro de um grupo, cada equipe disputa uma única partida contra cada uma das demais equipes de seu grupo. A primeira e a segunda colocadas de cada grupo seguem para realizar as 8 partidas da próxima fase do torneio, chamada oitavas de final. Os vencedores das partidas das oitavas de final seguem para jogar as 4 partidas das quartas de final. Os vencedores das quartas de final disputam as 2 partidas das semifinais, e os vencedores avançam para a grande final, que define a campeã do torneio. Pelas regras do torneio, cada equipe deve ter um período de descanso de, no mínimo, 3 dias entre dois jogos por ela disputados, ou seja, se um time disputar uma partida, por exemplo, num domingo, só poderá disputar a partida seguinte a partir da quinta-feira da mesma semana. O número mínimo de dias necessários para a realização desse torneio é",A 22.,B 25.,C 28.,D 48.,E 64.
QUESTÃO 177,"Em um jogo de bingo, as cartelas contêm 16 quadrículas dispostas em linhas e colunas. Cada quadrícula tem impresso um número, dentre os inteiros de 1 a 50, sem repetição de número. Na primeira rodada, um número é sorteado, aleatoriamente, dentre os 50 possíveis. Em todas as rodadas, o número sorteado é descartado e não participa dos sorteios das rodadas seguintes. Caso o jogador tenha em sua cartela o número sorteado, ele o assinala na cartela. Ganha o jogador que primeiro conseguir preencher quatro quadrículas que formam uma linha, uma coluna ou uma diagonal, conforme os tipos de situações ilustradas na Figura 1. Descrição da imagem: Figura 1 apresenta 3 cartelas em formato de quadrado, cada uma delas dividida por uma malha quadriculada, composta por 16 quadrículas, que são quadrados menores iguais, dispostos em 4 linhas horizontais e 4 colunas verticais. A cartela à esquerda tem a sua primeira linha com as 4 quadrículas preenchidas por bolinhas pretas e é um exemplo de preenchimento em linha; a cartela ao centro tem a sua última coluna com as 4 quadrículas preenchidas com bolinhas pretas e é um exemplo de preenchimento em coluna; e a cartela à direita tem a sua diagonal, que inicia no canto superior esquerdo, com as 4 quadrículas preenchidas com bolinhas pretas e é um exemplo de preenchimento em diagonal. O jogo inicia e, nas quatro primeiras rodadas, foram sorteados os seguintes números: 03, 27, 07 e 48. Ao final da quarta rodada, somente Pedro possuía uma cartela que continha esses quatro números sorteados, sendo que todos os demais jogadores conseguiram assinalar, no máximo, um desses números em suas cartelas. Observe na Figura 2 o cartão de Pedro após as quatro primeiras rodadas. Descrição da imagem: Figura 2 apresenta uma cartela em formato de quadrado, dividida por uma malha quadriculada, composta por 16 quadrículas, que são quadrados menores iguais, dispostos em 4 linhas horizontais e 4 colunas verticais. Os números impressos nessas 16 quadrículas, iniciando pelo canto superior esquerdo e finalizando no canto inferior direito da cartela, apresentados por linhas e seguindo a ordem crescente das colunas, são: Primeira linha: 03, 48, 12 e 27; Segunda linha: 49, 11, 22 e 05; Terceira linha: 29, 50, 19 e 45; Quarta linha: 33, 23, 38 e 07. Na cartela estão assinalados, rodeados por círculos, os números 03, 48, 27 e 07. A probabilidade de Pedro ganhar o jogo em uma das duas próximas rodadas é",A,B,C,D,"E Fração de numerador 1 e denominador 46 mais fração de numerador 1 e denominador 45. Fração de numerador 1 e denominador 46 mais fração de numerador 2 e denominador, abre parêntese, 46 vezes 45, fecha parêntese. Fração de numerador 1 e denominador 46 mais fração de numerador 8 e denominador, abre parêntese, 46 vezes 45, fecha parêntese. Fração de numerador 1 e denominador 46 mais fração de numerador 43 e denominador, abre parêntese, 46 vezes 45, fecha parêntese. Fração de numerador 1 e denominador 46 mais fração de numerador 49 e denominador, abre parêntese, 46 vezes 45, fecha parêntese."
